product_name	chunks	result
 Sneakers Chain Reaction 	sneakers chain reaction	Alexa手套真丝衬里
 sac fourre-tout ceinture	sac fourre,-tout ceinture	sac fourre tout ceinture
1 Moncler JW Anderson - Doudoune courte Helvellyn	1 moncler,jw anderson - doudoune courte,helvellyn	 moncler jw anderson  doudoune courte 赫尔弗林恩 1
1 Moncler JW Anderson - Doudoune courte Wintefold	1 moncler,jw anderson - doudoune courte,wintefold	 moncler jw anderson  doudoune courte WinteFold 1
1 Moncler JW Anderson - Doudoune en denim Penygarder	1 moncler,jw anderson,- doudoune,en denim penygarder	 moncler 对于脸部  doudoune 让·西奥 1
1 Moncler JW Anderson - Doudoune en denim Whinfell	1 moncler,jw anderson,- doudoune,en denim whinfell	 moncler 对于脸部  doudoune 穿着牛仔温弗尔 1
1 Moncler JW Anderson - Doudoune sans manches en denim Dalby	1 moncler,jw anderson,- doudoune,sans manches,en denim dalby	 moncler 对于脸部  doudoune 袖子 en denim dalby 1
1 Moncler JW Anderson - Jean délavé	1 moncler,jw anderson - jean délavé	 moncler jw anderson  jean délavé 1
1 Moncler JW Anderson - Jupe en coton imprimé	1 moncler,jw anderson,- jupe,en coton,imprimé	 moncler 对于脸部  jupe 棉花的 imprimé 1
1 Moncler JW Anderson - Sweat avec logo	1 moncler,jw anderson -,sweat,avec logo	 moncler jw anderson  出汗 带有徽标 1
1 Moncler JW Anderson - Sweat à capuche en polaire imprimé	1 moncler,jw anderson -,sweat,à capuche,en polaire,imprimé	 moncler jw anderson  出汗 à capuche en polaire imprimé 1
1 Moncler JW Anderson - T-shirt avec logo	1 moncler,jw anderson - t-,shirt,avec logo	 moncler jw anderson  t 卡姆登大衣 带有徽标 1
1017 ALYX 9SM - Sweatshirt à capuche	1017 alyx,9sm - sweatshirt,à capuche	 alyx sm  sweatshirt à capuche 1017 9sm
1017 ALYX 9SM - T-shirt	1017 alyx,9sm - t,-,shirt	 alyx sm  t  卡姆登大衣 1017 9sm
1017 ALYX 9SM - Veste Cosmos	1017 alyx,9sm - veste,cosmos	 alyx sm  veste cosmos 1017 9sm
1845 Mini coffre	1845 mini coffre	 mini coffre 1845
1952 - Cardigan	1952,- cardigan	  cardigan 1952
1952 - Chaussures Terry	1952,- chaussures terry	  chaussures terry 1952
1952 - Doudoune Sawyer	1952,- doudoune sawyer	  doudoune sawyer 1952
1952 - Gilet Nambour	1952 - gilet nambour	  gilet nambour 1952
1952 - Hoodie	1952,- hoodie	  hoodie 1952
1952 - Pantalon	1952,- pantalon	  pantalon 1952
1952 - Pantalon plissé	1952,- pantalon plissé	  pantalon plissé 1952
1952 - Pull	1952,- pull	  pull 1952
1952 - T-shirt	1952,- t,-,shirt	  t  卡姆登大衣 1952
1952 - Veste Creil	1952,- veste creil	  veste creil 1952
2 Moncler 1952 - Doudoune sans manches	2 moncler,1952 - doudoune,sans manches	 moncler   doudoune 袖子 2 1952
2 Moncler 1952 - Pantalon de jogging	2 moncler,1952 - pantalon,de jogging	 moncler   pantalon 在府绸弹力中 2 1952
2 Moncler 1952 - Pull à col montant	2 moncler,1952 - pull,à col,montant	 moncler   pull 填充革 金额 2 1952
2 Moncler 1952 - Short	2 moncler,1952 - short	 moncler   short 2 1952
2 Moncler 1952 - Sweatshirt à logo	2 moncler,1952 - sweatshirt,à logo	 moncler   sweatshirt à logo 2 1952
2 Moncler 1952 - T-shirt à logo	2 moncler,1952 - t,-,shirt,à logo	 moncler   t  卡姆登大衣 à logo 2 1952
2 Moncler 1952 - Veste Wolin	2 moncler,1952 - veste,wolin	 moncler   veste wolin 2 1952
5 Moncler Craig Green - Blouson Actinemys	5 moncler,craig green,- blouson actinemys	 moncler craig green  blouson actinemys 5
5 Moncler Craig Green - Blouson Clonophis	5 moncler,craig green,- blouson clonophis	 moncler craig green  blouson clonophis 5
5 Moncler Craig Green - Blouson Oxybelis	5 moncler,craig green,- blouson,oxybelis	 moncler craig green  blouson Oxybelis 5
5 Moncler Craig Green - Pantalon Nylon	5 moncler,craig green,- pantalon nylon	 moncler craig green  pantalon nylon 5
5 Moncler Craig Green - Pantalons À Coulisse	5 moncler,craig green,- pantalons,à coulisse	 moncler craig green  pantalons 一种用于制造机动车辆的 5
5 Moncler Craig Green - Sweatshirt Imprimé Grenouille	5 moncler,craig green,-,sweatshirt,imprimé grenouille	 moncler craig green  运动衫 imprimé grenouille 5
5 Moncler Craig Green - T-Shirt Imprimé Grenouille	5 moncler,craig green,- t,-,shirt imprimé,grenouille	 moncler craig green  t  shirt imprimé grenouille 5
50 Chapeau 50 Grammes De Qualité Supérieure	50 chapeau,50 grammes,de qualité,supérieure	 chapeau  grammes de qualité Tamarissiere 50 50
50 Chapeau À Bord Moyen Grammes	50 chapeau,à bord,moyen,grammes	 chapeau 在船上 5~6成熟 G 50
6 Moncler 1017 Alyx 9SM - Doudoune courte Almondy	6 moncler,1017 alyx,9sm - doudoune courte,almondy	 moncler  alyx sm  doudoune courte 杏仁 6 1017 9sm
6 Moncler 1017 Alyx 9SM - Gilet en nylon Fraxinus	6 moncler,1017 alyx,9sm - gilet,en nylon,fraxinus	 moncler  alyx SM马甲 尼龙的 白蜡虫 6 1017 9sm
6 Moncler 1017 Alyx 9SM - Pantalon de jogging	6 moncler,1017 alyx,9sm - pantalon,de jogging	 moncler  alyx sm  pantalon 在府绸弹力中 6 1017 9sm
6 Moncler 1017 Alyx 9SM - Pull zippé	6 moncler,1017 alyx,9sm - pull zippé	 moncler  alyx sm  pull zippé 6 1017 9sm
7 Moncler Frgmt Hiroshi Fujiwara - Pantalon à pinces	7 moncler frgmt hiroshi,fujiwara - pantalon,à pinces	 moncler frgmt hiroshi fujiwara  pantalon 一种用于制造机动车辆的 7
7 Moncler Frgmt Hiroshi Fujiwara - Sweat étoiles imprimées	7 moncler frgmt hiroshi,fujiwara - sweat étoiles,imprimées	 moncler frgmt hiroshi fujiwara  sweat étoiles 印出 7
7 Moncler Frgmt Hiroshi Fujiwara - T-shirt over	7 moncler frgmt hiroshi,fujiwara - t-shirt,over	 moncler frgmt hiroshi fujiwara  tshirt 完毕 7
7 Moncler Frgmt Hiroshi Fujiwara - Veste Cujam	7 moncler frgmt hiroshi,fujiwara - veste,cujam	 moncler frgmt hiroshi 藤原夹克 Cujam 7
7 Moncler Frgmt Hiroshi Fujiwara - Veste Hunor	7 moncler frgmt hiroshi,fujiwara - veste hunor	 moncler frgmt hiroshi fujiwara  veste hunor 7
8 Moncler Palm Angels - Doudoune Casmalia	8 moncler,palm angels - doudoune,casmalia	 moncler palm angels  doudoune casmalia 8
8 Moncler Palm Angels - Doudoune Edith	8 moncler,palm angels - doudoune edith	 moncler 裁剪的裤子 8
8 Moncler Palm Angels - Doudoune Kamakou	8 moncler,palm angels - doudoune,kamakou	 moncler palm angels  doudoune kamakou 8
8 Moncler Palm Angels - Doudoune Kelsey	8 moncler,palm angels - doudoune kelsey	 moncler palm angels  doudoune kelsey 8
8 Moncler Palm Angels - Pantalon évasé en gabardine	8 moncler,palm angels - pantalon évasé,en gabardine	 moncler 棕榈天使喇叭裤 拉链运动衫 8
8 Moncler Palm Angels - Pull imprimé Tropical	8 moncler,palm angels - pull imprimé tropical	 moncler 棕榈天使毛衣热带印花 8
8 Moncler Palm Angels - Sweat avec motif Tropical	8 moncler,palm angels - sweat,avec motif tropical	 moncler 棕榈天使出汗了 以热带为主题 8
8 Moncler Palm Angels - Sweat à capuche long motif Tropical	8 moncler,palm angels - sweat,à capuche,long motif tropical	 moncler 棕榈天使出汗了 à capuche long motif tropical 8
8 Moncler Palm Angels - Sweat à capuche motif Tropical	8 moncler,palm angels - sweat,à capuche,motif tropical	 moncler 棕榈天使出汗了 à capuche 热带主题 8
A Better Blue Baker Jeans	a better blue baker jeans	♪A更好的蓝色面包师牛仔裤♪
A Better Blue Braden Jeans	a better blue braden jeans	♪A更好的蓝色Braden牛仔裤♪
